,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE  ,,,,,,,,,,,,,,,,,,,,
MINISTERE DE LA SANTE DE LA POPULATION ET DE LA REFORME HOSPITALIERE,,,,,,,,,,,,,,,,,,,,
DIRECTION GENERALE DE LA PHARMACIE ET DES EQUIPEMENTS DE SANTE,,,,,,,,,,,,,,,,,,,,
DIRECTION DES PRODUITS PHARMACEUTIQUES - SOUS DIRECTION DE L'ENREGISTREMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOMENCLATURE NATIONALE DES PRODUITS PHARMACEUTIQUES A USAGE DE LA MEDECINE HUMAINE AU 31 DECEMBRE 2019  ( 3412 DE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL ,DATE D'ENREGISTREMENT  FINAL ,TYPE,STATUT,DUREE DE STABILITE,,
12,231/ 14 A 341 /16 ,14 A 341 ,ACARBOSE,GLUCAR,COMPRIME SECABLE ,100MG,B/30,Liste I,HOP ,OFF,,LABORATOIRES SALEM ,ALGERIE,9/27/2016,9/27/2016,Gé,F,24MOIS,,
13,235/14 A 136/19,14 A 136,ACARBOSE,DIACARBOSE,COMPRIME,50MG,B/30,Liste I,HOP,OFF,,BIOGALENIC/SARL,ALGERIE,3/1/2019,3/4/2019,Gé,F,24 MOIS ,,
14,263/14 A 136/16,14 A 136,ACARBOSE,CORECT ,COMPRIME,50MG,B/30,Liste I,HOP,OFF,,BIOPHARM SPA,ALGERIE,12/19/2016,12/19/2016,Gé,F,24 MOIS,,
15,289/14 A 136/16,14 A 136,ACARBOSE,ACARLYSE,COMPRIME,50MG,B/30,Liste I,HOP,OFF,,FRATERS RAZES FORME SECHE,ALGERIE,12/19/2016,12/19/2016,Gé,F,24 MOIS,,
16,293/14 A 136/17,14 A 136,ACARBOSE,ARBOSE,COMPRIME,50MG,B/30,Liste I,HOP,OFF,,BIOCARE SARL,ALGERIE,4/12/2017,4/12/2017,Gé,F,24 MOIS ,,
17,418/14 A 136/16,14 A 136,ACARBOSE,ACROBAY,COMPRIME,50MG,B/30,Liste I,HOP,OFF,,SARL NEOMEDIC,ALGERIE,10/19/2016,10/19/2016,Gé,F,24MOIS,,
18,424/ 14 A 341 /12,14 A 341,ACARBOSE,GLUCOBAY,COMPRIME SECABLE ,100MG,B/30,Liste I,HOP,OFF,,BAYER SCHERING PHARMA AG,ALLEMAGNE,7/13/2012,7/13/2012,Ré,I,,,
19,447/14 A 341/16,14 A 341,ACARBOSE,GLYBEK,COMPRIME SECABLE ,100MG,B/30 ET B/90,Liste I,HOP,OFF,,SARL BEKER,ALGERIE,11/8/2016,11/8/2016,Gé,F,24MOIS,,
20,268/ 06 F 067 /06/13,06 F 067,ACEBUTOLOL CHLORHYDRATE,SEBUTOL,COMPRIME PELLICULE ,200MG,B/30,Liste I,HOP,OFF,,MERINAL,ALGERIE,4/12/2006,3/5/2013,Gé,F,,,
21,521/ 06 F 067 /10/18,06 F 067,ACEBUTOLOL CHLORHYDRATE,ACEBUTOLOL IVAL,COMP. PELLI. SEC.,200MG,B/30, Liste I , HOP , OFF ,,SARL WORLD MEDECINE LIMITED,ALGERIE,1/27/2010,8/13/2018,Gé,F,36MOIS,,
22,013/12 A 001/99/16,12 A 001,Acenocoumarol,NOVAROL,COMPRIME SECABLE ,4MG,B/30,Liste I,HOP,OFF,,INDUSTRIA FARMACEUTICA NOVA ARGENTIA SPA,ITALIE,11/21/1999,9/11/2016,Gé,I,60 MOIS,,
23,540 / 12 A 001 /98/19,12 A 001,Acenocoumarol,SINTROM,COMP.QUADRISEC.,4MG,B/30,Liste I,HOP,OFF,,MEDIUS AG,SUISSE,11/25/1998,9/19/2019,Ré,I,60 MOIS,,
24,348/14 H 358/17 ,14 H 358 ,ACETATE ALPHA TOCOPHEROL,API E ,CP A CROQUER ET A SUCER,500 MG ,B/02 TUBES DE 10,,HOP,OFF,,SARL ALGERIAN PHARMACEUTICAL INSTITUT (API),ALGERIE,3/12/2017,3/12/2017,Gé,F,24 MOIS,,
25,242/ 06 H 084 /02/16,06 H 084,ACETAZOLAMIDE,LYNOX,COMPRIME,250MG,B/20,Liste II,HOP,OFF,,GROUPE SANTE,ALGERIE,10/16/2002,5/22/2016,Gé,F,24MOIS,,
26,099/ 18 C 005 /98/16,18 C 005,ACETYL- DL- LEUCINE,TANGANIL,SOL.INJ.,500MG/5ML,B/5AMP. DE 5ML,,HOP,OFF,,PIERRE FABRE,FRANCE,10/13/1998,3/5/2017,Ré,I,,,
27,099/ 18 C 006 /98,18 C 006,ACETYL- DL- LEUCINE,TANGANIL,COMPRIME,500MG,B/30,,HOP,OFF,,PIERRE FABRE,FRANCE,11/10/1998,11/10/1998,Ré,I,,,
28,348/ 20 D 231 /08,20 D 231 ,ACETYLCYSTEINE OU N ACETYLCYSTEINE,FLUIMEX,COMP. EFFER.,200MG,B/20,,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUT (API),ALGERIE,9/10/2008,9/10/2008,Gé,F,,,
29,093/ 22 B 031 /07,22 B 031,ACETYLCYSTEINE/TUAMINOHEPTANE/CHLORURE DE BENZALKONIUM,RHINOFLUIMUCIL,SOL. PULV.NASALE,"100MG/50MG/1,25MG/10ML",FL./10ML,Liste II,HOP,OFF,,ZAMBON,FRANCE,6/20/2007,6/20/2007,Ré,I,,,
30,039/ 03 A 004 /06/14,03 A 004,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ASPIGAL 900,PDRE.ET SOLV. P. SOL. INJ. IM/IV,500MG/FL. DE PDRE.,B/01FL. DE PDRE +01AMP. DE 5ML DE SOLV. (EPPI) ET B/50FL. DE PDRE    ,,HOP,OFF,B/50 RESERVEE AUX HOP.,SOCIETE PHARMACEUTIQUE ALGERIENNE (SOPHAL),ALGERIE,4/19/2006,4/19/2006,Gé,C IIaire,24 MOIS,,
31,376/ 03 A 024 /03/16,03 A 024,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ASPEGIC ENFANT,PDRE. SOL. BUV. EN SACH.-DOSE,250MG/SACH.-DOSE,B/20 SACHETS,,HOP,OFF,,SANOFI-AVENTIS,FRANCE,7/19/2003,3/6/2017,Ré,I,24 MOIS,,
32,376/ 03 A 025 /97/16,03 A 025,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ASPEGIC 500,PDRE. SOL. BUV. EN SACH.-DOSE,500MG/SACH.-DOSE,B/20 SACHETS,,HOP,OFF,,SANOFI AVENTIS OTC,FRANCE,11/8/1997,1/31/2018,Ré,I,24 MOIS,,
33,035/ 07 E 033 /98/13,07 E 033,ACICLOVIR,CLOVIRAX,CREME DERM.,5%,T/2G ET T/10G,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,3/10/1998,8/13/2013,Gé,F,,,
34,035/13 P 097/17,13 P 097,ACICLOVIR,CLOVIRAX,COMPRIME,200MG,B/30,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,6/21/2017,6/21/2017,Gé,F,24MOIS,,
35,065/ 13 P 097 /15,13 P 097,ACICLOVIR,ACICLOVIR GL,COMPRIME,200MG,B/30,Liste I,HOP,OFF,,SARL GENERIC LAB,ALGERIE,11/10/2015,11/10/2015,Gé,Fprémix,24 mois,,
36,079/ 07 E 033 /07/14,07 E 033 ,ACICLOVIR,VIRAVIR,CREME DERM.,5%,T/3G ET T/5G,Liste I,HOP,OFF,,LABORATOIRE ALGERIEN DE DEVELOPPEMENT PHARMACEUTIQUE (LAD PHARMA) SARL,ALGERIE,11/18/2007,5/4/2014,Gé,F,24 MOIS,,
37,149/ 07 E 033 /13/19,07 E 033,ACICLOVIR,NOVACLOVIR,CREME DERM.,5%,T/15G ET T/02G,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,9/15/2013,7/19/2016,Gé,F,36 MOIS ,,
38,149/ 13 P 097 /16,13 P 097,ACICLOVIR,NOVACLOVIR ,COMPRIME,200MG ,B/25,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,6/26/2016,6/26/2016,Gé,F,36 MOIS,,
39,190/ 13 P 097 /98/13,13 P 097,ACICLOVIR,CLOVIR,COMPRIME,200MG,B/30,Liste I,HOP,OFF,,SOCIETE SAOUDIENNE SPIMACO ALGERIE,ALGERIE,11/29/1998,7/7/2013,Gé,Fprémix,,,
40,218/ 17 F 042 /99,17 F 042,ACICLOVIR,ACICLOSINA,PDE.OPHT.,3% (OU 30MG/G),T/5G,Liste I,HOP,OFF,,CIPAN,PORTUGAL,8/21/1999,8/21/1999,Gé,I,,,
41,450/ 13 P 098 /07/15,13 P 098,ACICLOVIR,ACICLOVIR MYLAN,PDRE. SOL. INJ. IV,250MG/FL. DE PDRE.,B/05 FL. DE PDRE.,Liste I,HOP,,,MYLAN S.A.S,FRANCE,6/17/2007,10/4/2015,Gé,I,36 MOIS,,
42,263/ 12 A 131 /07/18,12 A 131 ,ACIDE ACETYLSALICYLIQUE,ASPIRINE CARDIO,GELULE,100MG,PILULIER/30 ET PILULIER/90,,HOP,OFF,,BIOPHARM SPA,ALGERIE,11/4/2007,3/20/2018,Gé,F,24 MOIS,,
43,447/ 12 A 131 /09/18,12 A 131,ACIDE ACETYLSALICYLIQUE,ASPEC,COMPRIME SECABLE ,100MG, B/98,,HOP,OFF,,BEKER SARL (SARL LABORATOIRE BEKER ALGERIE),ALGERIE,12/6/2009,4/18/2018,Gé,F PREMIX,,,
44,395/03 A 102/08/16,03 A 102 ,ACIDE ACETYLSALICYLIQUE / CAFEINE,ASPRO ACCEL,COMP. PELLI. SEC.,500MG/50MG,B/20,,HOP,OFF,,BAYER SANTE FAMILLIALE,FRANCE,3/23/2008,3/23/2008,11/09/1216,I,36 MOIS,,
45,201/ 03 A 033 /00/14,03 A 033,ACIDE ACETYLSALICYLIQUE/ ACIDE ASCORBIQUE,ASPIRINE UPSA VITAMINE C TAMPONNEE EFFERVESCENTE,COMP. EFFERV,330MG/200MG,B/20,,HOP,OFF,,PROPHARMAL,ALGERIE,7/26/2000,1/21/2014,Ré,F,36 MOIS,,
46,035/ 21 G 050 /09/15,21 G 050,ACIDE ALENDRONIQUE MONOSODIQUE TRIHYDRATE EXPRIME EN ACIDE ALENDRONIQUE,ENDRONAX,COMPRIME,70MG,B/04,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,7/19/2009,8/9/2015,Gé,F,36 MOIS,,
47,289/ 21 G 066 /15,21 G 066,ACIDE ALENDRONIQUE MONOSODIQUE TRIHYDRATE EXPRIME EN ACIDE ALENDRONIQUE / COLECALCIFEROL,POROSIMAX PLUS,COMPRIME,70MG/5600UI,B/04,Liste I,HOP,OFF,,FRATER RAZES FORME SECHE,ALGERIE,7/26/2015,7/26/2015,Gé,Fprémix,18 MOIS,,
48,050/ 14 H 168 /99,14 H 168,ACIDE ASCORBIQUE,VITAMINE  C,COMP.EFFER.,500MG,T/16,,HOP,OFF,,SANDOZ SPA,ALGERIE,1/27/1999,1/27/1999,Gé,F,,,
49,079/ 14 H 115 /99/19,14 H 115,ACIDE ASCORBIQUE,LADOSCORBINE,COMPRIME A CROQUER,500MG,B/12,,HOP,OFF,,LABORATOIRE  ALGERIEN DE DEVELOPPEMENT  PHARMACEUTIQUE   (LAD),ALGERIE,2/14/1999,7/10/2019,Gé,F,24 MOIS,,
50,162/ 14 H 085 /98,14 H 085,ACIDE ASCORBIQUE,VITAMINE C,SOL.INJ.,500MG/5ML,B/100AMP.,,HOP,OFF,,CHINA MEHECO,CHINE,10/19/1998,10/19/1998,Gé,I,,,
51,201/ 14 H 222 /07/13,14 H 222,ACIDE ASCORBIQUE,VITAMINE C UPSA EFFERVESCENTE,COMP. EFFERV. ,1G,B/20,,HOP,OFF,,PROPHARMAL,ALGERIE,3/18/2007,12/22/2013,Ré,Fprémix,24 MOIS,,
52,348/ 14 H 168 /08,14 H 168 ,ACIDE ASCORBIQUE,APISCORBUT,COMP. EFFERV.,500MG,B/20,,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUTE (API),ALGERIE,5/17/2008,5/17/2008,Gé,F,,,
53,348/ 14 H 222 /07,14 H 222,ACIDE ASCORBIQUE,APISCORBUT,COMP. EFFERV.,1G,B/20,,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUTE (API),ALGERIE,2/4/2007,2/4/2007,Gé,F,,,
54,395/ 14 H 222 /08,14 H 222,ACIDE ASCORBIQUE,LAROSCORBINE,COMP. EFFERV.,1G,B/10,,HOP,OFF,,BAYER SANTE FAMILLIALE,FRANCE,12/23/2008,12/23/2008,Gé,I,,,
55,093/ 17 L 082 /98,17 L 082,ACIDE ASCORBIQUE / VITAMINE E /RUTOSIDE ,VELITEN,COMPRIME,200MG / 50MG / 200MG,B/30,,HOP,OFF,,ZAMBON,FRANCE,11/8/1998,11/8/1998,Ré,I,,,
56,179/ 17 E 037 /98/17,17 E 037,ACIDE BORIQUE/BORATE DE SODIUM,DACRYOSERUM,SOL.LAVAGE OPHT.,"1,8%/1,2%",FL/150 ML ET B/20RECIPIENTS UNIDOSES DE 5ML,,HOP,OFF,,MC NEIL ,FRANCE,12/15/1998,4/16/2017,Ré,I,24 MOIS FL/150 ML ET 36 MOIS RECIPIENTS UNIDOSES DE 5 ML,,
57,077/12 E 020/17,12 E 020,ACIDE FOLIQUE,CIFLODINE,GELULE,5MG,B/60,,HOP,OFF,,LABOIRATOIRE ALGERIEN DU MEDICAMENT (LAM ),ALGERIE,6/12/2017,6/12/2017,Gé,F PREMIX,24 MOIS,,
58,242/ 12 E 020 /04/17,12 E 020,ACIDE FOLIQUE,FOLIDEN,COMPRIME,5MG,B/60,,HOP,OFF,,GROUPE SANTE,ALGERIE,7/21/2004,12/11/2017,Gé,F,,,
59,348/ 12 E 020 /15,12 E 020,ACIDE FOLIQUE,ACIDE FOLIQUE - API,COMPRIME,5MG,B/20,,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUTE (API) SARL,ALGERIE,5/13/2015,5/13/2015,Gé,F,24 MOIS,,
60,380/ 12 E 020 /14,12 E 020,ACIDE FOLIQUE,HUPFOLIQ,COMPRIME,5MG ,B/60,,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,7/6/2014,7/6/2014,Gé,F,36 MOIS,,
61,418/ 12 E 020 /14,12 E 020,ACIDE FOLIQUE,FOLACID,COMPRIME,5MG,B/60,,HOP,OFF,,NEOMEDIC SARL,ALGERIE,11/30/2014,11/30/2014,Gé,F,24 MOIS,,
62,470/ 12 E 020 /13,12 E 020,ACIDE FOLIQUE,FONITRA,COMPRIME,5MG,B/60,,HOP,OFF,,MM (SARL LABORATOIRES MM),ALGERIE,9/30/2013,9/30/2013,Gé,F,,,
63,462/12 E 020/19,12 E 020,ACIDE FOLIQUE,PHYSIOFOL,COMP,5MG,B/60,,HOP,OFF,,PHYSIOPHARM SARL,ALGERIE,,,Gé,F,24 MOIS,,
64,149/ 07 C 017 /18,07 C 017,ACIDE FUSIDIQUE,ACFUSID,CREME DERM.,2% (2G/100G),T/15G,Liste I,HOP,OFF,,NOVA PHARM TRADING SARL ,ALGERIE,4/25/2018,4/25/2018,Gé,F,24 MOIS ,,
65,293/ 13 N 179 /18,13 N 179,ACIDE FUSIDIQUE,FUCARE,COMPRIME PELLICULE ,250MG,B/10,Liste I,HOP,OFF,,BIOCARE ,ALGERIE,12/24/2018,12/24/2018,Gé,F,24MOIS,,
66,501/ 17 D 104 /97/15,17 D 104,ACIDE FUSIDIQUE,FUCITHALMIC,GEL OPHT,1%,T/3G,Liste I,HOP,OFF,,AMDIPHARM ,IRELAND,12/21/1997,12/2/2015,Ré,I,36 MOIS,,
67,528/ 13 N 180 /19,13 N 180,ACIDE FUSIDIQUE ,FUCIMED,SUSP.BUV,250MG/5ML,FL/90ML + CUILLERE MESURE,Liste I,HOP,OFF,,JANIS MED,ALGERIE,3/26/2019,3/26/2019,Gé,F,24 MOIS,,
68,083/ 13 N 179 /99/16,13 N 179,ACIDE FUSIDIQUE OU FUSIDATE DE SODIUM SEL,FUCIDINE,COMPRIME PELLICULE ,250MG,B/10,Liste I,HOP,OFF,,LEO,FRANCE,6/9/1999,1/4/2017,Ré,I,36 MOIS,,
69,083/ 07 C 016 /98/12,07 C 016,ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM,FUCIDINE,PDE.DERM.,2%,T/15G,Liste I,HOP,OFF,,LEO PHARMA A/S,DANEMARK,11/25/1998,7/19/2016,Ré,F,36 MOIS ,,
70,149/07 C 016/149,07 C 016,ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM,ACFUSID,PDE.DERM.,2%,T/15G,Liste I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,2/12/2017,2/12/2017,Gé,F,24 MOIS,,
71,311/ 07 C 016 /15,07 C 016,ACIDE FUSIDIQUE SOUS FORME DE FUSIDATE DE SODIUM,EFFUCINE,PDE. DERM,2%,T./15G,Liste I,HOP,OFF,,SARL GROUPEMENT PHARMACEUTIQUE ALGERIEN LGPA,ALGERIE,12/13/2015,12/13/2015,Gé,F,24 MOIS,,
72,190/ 04 B 070 /14,04 B 070,ACIDE MEFENAMIQUE,MAFEPAIN,COMP ENRO SEC ,500MG ,B/20,Liste II,HOP,OFF,,SPIMACO ADDWAEH,ARABIE SAOUDITE,7/6/2014,7/6/2014,Gé,I,48 MOIS,,
73,022/17 B 100/09/16,17 B 100,ACIDE N-ACETYL ASPARTYL GLUTAMIQUE (SOUS FORME SEL DE SODIUM)**,NAABAK,COLLYRE EN SOLUTION (SANS CONSERVATEUR),"4,9G/100ML",FL/10ML,,HOP,OFF,,THEA,FRANCE,12/30/2009,6/29/2016,Ré,I,24 MOIS ,,
74,263/ 22 F 038 /09 ,22 F 038,"ACIDE N-ACETYL ASPARTYL GLUTAMIQUE,SEL DE MAGNESIUM ",RHINAAXIA,SOL. PULV. NASALE,6G/100ML,FL./13ML,,HOP,OFF,,BIOPHARM ALGERIE,ALGERIE,5/2/2009,5/2/2009,Gé,F,,,
75,003/ 21 A 001 /98/17,21 A 001,ACIDE NIFLUMIQUE,FLUCIDAL,PDE. DERM.,3%,T/40G,,HOP,OFF,,EPE GROUPE INDUSTRIEL SAIDAL/SPA,ALGERIE,1/20/1998,1/29/2017,Gé,F,36 MOIS,,
76,017/ 21 A 031 /99/15,21 A 031,ACIDE NIFLUMIQUE,NIFLUGEL,GEL DERM.,2.5%,T/60G,,HOP,OFF,,BRISTOL-MYERS SQUIBB,FRANCE,5/15/1999,1/29/2015,Ré,I,36 MOIS,,
77,231/ 04 B 029 /08/16,04 B 029,ACIDE NIFLUMIQUE,NIFLUMENE,GELULE,250MG,B/30,Liste II,HOP,OFF,,SALEM,ALGERIE,7/14/2008,2/4/2016,Gé,F,36 MOIS,,
78,003/ 04 B 029 /11/16,04 B 029,ACIDE NIFLUMIQUE,FLUCIDAL,GELULE,250MG,B/30,Liste II,HOP,OFF,,SAIDAL GROUPE,ALGERIE,10/4/2011,6/16/2019,Gé,F,36 MOIS,,
79,319/ 21 A 031 /08,21 A 031 ,ACIDE NIFLUMIQUE,GEMATE GEL,GEL DERM.,2.5%,T/60G,,HOP,OFF,,ARAB PHARM,ALGERIE,7/14/2008,7/14/2008,Gé,F,,,
80,366/ 21 A 001 /07/13,21 A 001 ,ACIDE NIFLUMIQUE,NIFLURIC,PDE.DERM.,3%,T/40G,,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,9/15/2007,8/7/2013,Gé,F,,,
81,366/ 21 A 031 /08,21 A 031,ACIDE NIFLUMIQUE,NIFLURIC,GEL DERM.,2.5%,T/40G,,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,12/17/2008,12/17/2008,Gé,F,,,
82,457/ 04 B 029 /12,04 B 029,ACIDE NIFLUMIQUE,INFLAMINE,GLES.,250MG,B/30,Liste II,HOP,OFF,,SOMEDIAL,ALGERIE,1/30/2012,1/30/2012,Gé,F,36 MOIS,,
83,352/ 21 D 046 /15 ,21 D 046,ACIDE RISEDRONIQUE MONOSODIQUE HEMIPENTAHYDRATE EXPRIME EN ACIDE RIDEDRONIQUE MONOSODIQUE,RISONATE,COMPRIME PELLICULE ,35MG,B/04,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT SPA,ALGERIE,12/2/2015,12/2/2015,Gé,F,24 MOIS,,
84,447/ 21 D 046 /13/18,21 D 046,ACIDE RISEDRONIQUE MONOSODIQUE HEMIPENTAHYDRATE EXPRIME EN ACIDE RIDEDRONIQUE MONOSODIQUE,OSTONEL ONCE A WEEK,COMPRIME PELLICULE ,35MG,B/04,Liste I,HOP,OFF,,BEKER SARL (SARL LABORATOIRE BEKER ALGERIE),ALGERIE,11/3/2013,1/9/2018,Gé,F,36 MOIS,,
85,317/ 21 C 041 /14,21 C 041,ACIDE RISEDRONIQUE SEL MONOSODIQUE,OSTEOS,COMPRIME,30MG ,B/30,Liste I,HOP,OFF,,INPHA-MEDIS SPA,ALGERIE,6/22/2014,8/9/2016,Gé,F,36MOIS,,
86,317/ 21 D 040 /14,21 D 040,ACIDE RISEDRONIQUE SEL MONOSODIQUE,OSTEOS,COMPRIME PELLICULE ,5MG ,B/30,Liste I,HOP,OFF,,INPHA-MEDIS SPA,ALGERIE,4/28/2014,7/26/2016,Gé,F,36MOIS ,,
87,317/ 21 D 046 /14,21 D 046,ACIDE RISEDRONIQUE SEL MONOSODIQUE,OSTEOS,COMPRIME PELLICULE ,35MG ,B/04,Liste I,HOP,OFF,,INPHA-MEDIS SPA,ALGERIE,6/22/2014,9/5/2016,Gé,F,36MOIS,,
88,321/ 10 R 101 /17,10 R 101,Acide ursodesoxycholique,TIALYZ,CAPSULE ORALE,200MG,B/30,Liste I,HOP,OFF,,BIOVITAL,ALGERIE,1/2/2018,1/2/2018,Gé,F,24 MOIS,,
89,376/ 10 R 101 /98/15,10 R 101,Acide ursodesoxycholique,URSOLVAN,GLES.,200MG,B/30,Liste I,HOP,OFF,,SANOFI AVENTIS FRANCE,FRANCE,8/18/1998,9/22/2015,Ré,I,36 MOIS,,
90,352/ 15 A 092 /09/18,15 A 092,ACIDE VALPROIQUE (SOUS FORME DE VALPROATE DE SODIUM),SOPVAL,SIROP,200MG/5ML** (OU 40MG/ML),FL./200ML,Liste II,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,10/19/2009,9/10/2018,Gé,F,24 MOIS ,,
91,068/ 05 F 123 /08,05 F 123 ,ACIDE ZOLEDRONIQUE,ZOMETA,SOL. A DILUER PERF.IV,"0,8MG/ML (4MG/5ML)",B/01FL. DE 5ML,Liste I,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,2/20/2008,2/20/2008,Ré,I,,,
